"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-01",,,"0.05","0.0","0.0",,"48","40","48"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-02",,,"0.02","0.0","0.0",,"52","44","51"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-03",,,"0.82","0.0","0.0",,"60","49","60"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-04",,,"0.93","0.0","0.0",,"60","34","37"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-05",,,"0.10","0.4","0.0",,"38","25","29"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-06",,,"0.76","0.0","0.0",,"34","28","32"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-07",,,"0.25","2.5","4.0",,"34","22","25"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-08",,,"0.00","0.0","2.0",,"31","12","27"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-09",,,"0.00","0.0","0.0",,"47","25","45"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-10",,,"0.72","0.0","0.0",,"59","35","36"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-11",,,"0.00","0.0","0.0",,"43","21","24"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-12",,,"0.00","0.0","0.0",,"41","20","39"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-13",,,"0.26","0.0","0.0",,"60","37","59"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-14",,,"0.00","0.0","0.0",,"60","30","31"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-15",,,"0.79","0.0","0.0",,"53","23","53"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-16",,,"0.35","0.0","0.0",,"55","22","27"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-17",,,"0.00","0.0","0.0",,"39","18","39"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-18",,,"0.02","1.0","1.0",,"44","17","21"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-19",,,"0.01","0.4","1.0",,"22","11","19"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-20",,,"0.00","0.0","0.0",,"26","6","23"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-21",,,"0.11","1.1","0.0",,"38","23","39"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-22",,,"0.06","0.0","0.0",,"43","36","40"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-23",,,"0.01","0.0","0.0",,"47","35","38"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-24",,,"1.00","0.0","0.0",,"60","35","59"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-25",,,"0.00","0.0","0.0",,"72","57","67"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-26",,,"0.55","0.0","0.0",,"68","32","33"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-27",,,"0.00","0.0","0.0",,"34","20","20"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-28",,,"0.00","0.0","0.0",,"46","18","43"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-29",,,"0.09","0.0","0.0",,"53","35","36"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-30",,,"0.00","0.0","0.0",,"36","23","20"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-01-31",,,"0.04","0.5","0.0",,"32","20","28"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-01",,,"0.00","0.0","0.0",,"33","25","31"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-02",,,"0.00","0.0","0.0",,"34","29","32"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-03",,,"0.00","0.0","0.0",,"33","17","27"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-04",,,"0.00","0.0","0.0",,"34","17","27"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-05",,,"0.00","0.0","0.0",,"40","20","37"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-06",,,"0.04","0.0","0.0",,"40","35","37"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-07",,,"0.01","0.0","0.0",,"37","23","25"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-08",,,"0.00","0.0","0.0",,"44","17","40"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-09",,,"0.52","0.0","0.0",,"49","20","33"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-10",,,"0.00","0.0","0.0",,"34","30","34"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-11",,,"0.00","0.0","0.0",,"46","30","36"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-12",,,"0.00","0.0","0.0",,"39","27","32"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-13",,,"1.39","0.0","0.0",,"39","27","38"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-14",,,"1.00","0.0","0.0",,,"52","52"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-15",,,"0.00","0.0","0.0",,"56","31","32"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-16",,,"0.11","2.3","2.0",,"33","24","26"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-17",,,"0.12","2.4","4.0",,"30","26","28"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-18",,,"0.00","0.0","0.0",,"44","22","43"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-19",,,"0.22","2.0","4.0",,"44","17","17"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-20",,,"0.00","0.0","3.0",,"19","8","10"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-21",,,"0.12","0.6","3.0",,"36","6","34"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-22",,,"0.39","0.1","3.0",,"37","24","29"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-23",,,"0.02","0.0","3.0",,"32","14","30"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-24",,,"0.17","0.5","0.0",,"36","16","18"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-25",,,"0.00","0.0","0.0",,"20","9","14"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-26",,,"0.00","0.0","3.0",,"20","10","19"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-27",,,"0.00","0.0","2.0",,"29","14","24"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-02-28",,,,,"3.0",,"40","36","38"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-01",,,"0.03","1.2","1.0",,"23","20","20"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-02",,,"0.09","1.3","3.0",,"23","8","12"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-03",,,"0.00","0.0","3.0",,"25","6","19"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-04",,,"0.00","0.0","0.0",,"42","9","37"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-05",,,"0.00","0.0","0.0",,"51","33","42"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-06",,,"0.00","0.0","0.0",,"44","22","31"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-07",,,"0.00","0.0","0.0",,"58","30","48"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-08",,,"0.00","0.0","0.0",,"48","22","24"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-09",,,"0.09","0.0","0.0",,"24","13","23"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-10",,,"0.00","0.0","0.0",,"35","17","30"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-11",,,"0.04","0.0","0.0",,"39","26","39"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-12",,,"0.00","0.8","2.0",,"40","25","27"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-13",,,"0.72","2.0","3.0",,"29","24","25"
"USC00331653","CLEVELAND SHAKER HEI, OH US","41.46667","-81.56667","299.0","1950-03-14",,,"0.00","0.0","0.0",,"34","13","31"
